,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
5,5,Dickson Abiama,NGA,Greuther F¸rth,Bundesliga,1998,24,FW,0.01940327038010997,0.057804999999999995,0.06681115288220552,0.04540281690140845,0.0024,0.21205030710734132
7,7,Tammy Abraham,ENG,Roma,Serie A,1997,37,FW,0.02386296335671073,0.03261,0.043969824561403505,0.09965211267605635,0.044505263157894735,0.9017256507750805
13,13,Che Adams,SCO,Southampton,Premier League,1996,30,FW,0.019364665878178595,0.021670000000000002,0.0485259649122807,0.04936666666666667,0.2636526315789474,0.5960807253582919
15,15,Sargis Adamyan,ARM,Hoffenheim,Bundesliga,1993,13,FWMF,0.10052489827245618,0.0020250000000000003,0.03677368421052631,0.1208,0.22736842105263158,0.09651945013161742
17,17,Amine Adli,FRA,Leverkusen,Bundesliga,2000,25,FWMF,0.04769755526756169,0.0,0.1270470011986488,0.0507349765258216,0.17964210526315788,0.36706639368236327
20,20,Felix Afena-Gyan,GHA,Roma,Serie A,2003,17,FWMF,0.07227631047061071,0.0828,0.062231929824561404,0.05971666666666667,0.22736842105263158,0.195086282538754
36,36,Ludovic Ajorque,REU,Strasbourg,Ligue 1,1994,36,FW,0.020560078387458006,0.027885,0.10012160401002507,0.08896830985915492,0.33362105263157893,0.8005264697279907
49,49,Lucas Alario,ARG,Leverkusen,Bundesliga,1992,27,FW,0.16159671914230186,0.05670500000000001,0.05241824561403509,0.08876666666666669,0.6905263157894737,0.19128400116993272
54,54,Marc Albrighton,ENG,Leicester City,Premier League,1989,17,FWDF,0.023592541238345685,0.00395,0.12066894736842107,0.08493333333333335,0.07056842105263157,0.33079847908745247
55,55,Paco Alc·cer,ESP,Villarreal,La Liga,1993,18,FW,0.051919849624060155,0.02352,0.04904684210526315,0.03671666666666667,0.09943157894736843,0.2298917812225797
64,64,Mohamed Ali Cho,FRA,Angers,Ligue 1,2004,32,FW,0.04794564213546058,0.022900000000000004,0.04972017543859649,0.02245023474178404,0.017842105263157895,0.5369991225504533
67,67,Jim Allevinah,GAB,Clermont Foot,Ligue 1,1995,30,FW,0.10590412823835828,0.031305000000000006,0.12224009044350007,0.044468075117370894,0.05292631578947368,0.43492249195671245
80,80,Amath,SEN,Mallorca,La Liga,1996,19,FWMF,0.020848323414321124,0.0035499999999999998,0.04509736842105263,0.014016901408450706,0.0020000000000000005,0.25826264989763087
90,90,Felipe Anderson,BRA,Lazio,Serie A,1993,38,FW,0.08738552027385527,0.004350000000000001,0.12291462351531002,0.0749180751173709,0.16499999999999998,0.8443989470605441
91,91,Sebastian Andersson,SWE,Kˆln,Bundesliga,1991,26,FW,0.00789404255319149,0.030985,0.053671052631578946,0.04965000000000001,0.1782421052631579,0.3673588768645803
101,101,Janis Antiste,FRA,Spezia,Serie A,2002,18,FW,0.0562909341067227,0.008765,0.06001215538847118,0.036250000000000004,0.09263157894736843,0.2325241298625329
104,104,Michail Antonio,JAM,West Ham,Premier League,1990,36,FW,0.08014925700141297,0.032249999999999994,0.05640315789473684,0.09470281690140846,0.03006315789473684,0.8686750511845569
105,105,Christopher Antwi-Adjei,GHA,Bochum,Bundesliga,1994,25,FWMF,0.01828851781018408,0.00455,0.05621070175438596,0.029400000000000003,0.06896842105263158,0.3302135127230184
119,119,Adam Armstrong,ENG,Southampton,Premier League,1997,23,FW,0.04746498232192961,0.022165,0.05717157894736842,0.034883333333333336,0.11207368421052633,0.4129862532904358
121,121,Marko Arnautovi?,AUT,Bologna,Serie A,1989,33,FW,0.015431049218029099,0.02158,0.11186477716029203,0.05583403755868545,0.3963894736842105,0.7876572097104417
125,125,Arthur,BRA,Fiorentina,Serie A,1998,14,FW,0.09857780231771701,0.058339999999999996,0.04717473684210526,0.08480281690140845,0.20690526315789473,0.21877742029833283
127,127,Takuma Asano,JPN,Bochum,Bundesliga,1994,27,FWMF,0.03746711123972973,0.023415,0.04175824561403509,0.04475,0.14755789473684208,0.4700204738227552
131,131,Marco Asensio,ESP,Real Madrid,La Liga,1996,31,FWMF,0.05028167936848185,0.024470000000000002,0.12662262177182088,0.062450234741784044,0.4378947368421053,0.505995905235449
136,136,Iago Aspas,ESP,Celta Vigo,La Liga,1987,37,FW,0.038110649605562597,0.039895,0.1162935817805383,0.09346948356807512,0.04510526315789474,0.9026031003217315
140,140,Pierre-Emerick Aubameyang,GAB,Barcelona,La Liga,1989,17,FW,0.008428314606741573,0.006830000000000001,0.04811859649122807,0.09921666666666668,0.7763368421052632,0.31617431997660134
141,141,Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,1989,14,FW,0.02648266114725015,0.018314999999999998,0.0532940350877193,0.07180211267605634,0.29653684210526315,0.3030125767768353
147,147,Ezequiel ¡vila,ARG,Osasuna,La Liga,1994,36,FWMF,0.017493155629930673,0.017070000000000002,0.07499157894736841,0.043166666666666666,0.2452105263157895,0.5466510675636151
148,148,Taiwo Awoniyi,NGA,Union Berlin,Bundesliga,1997,31,FW,0.05995078991242914,0.020865,0.07223196796338674,0.011016666666666668,0.5229052631578949,0.6355659549575899
150,150,Jordan Ayew,GHA,Crystal Palace,Premier League,1991,31,FW,0.027265395019942875,0.05335000000000001,0.12350267189713414,0.039150000000000004,0.11207368421052633,0.5902310617139515
157,157,Carlos Bacca,COL,Granada,La Liga,1986,17,FW,0.014457040401625628,0.021970000000000007,0.049090877192982454,0.012249999999999999,0.0036,0.14975138929511553
